"","prod_id","prod_name","prod_desc","review_id","prod_rating","review_date","prod_unit_price","voucher","prod_url"
"1","prod01","Fun Party Games","Liven up your party with exciting and engaging games.","rev01",4,2009-03-21,48.6,NA,"https://group9.co.uk/Fun-Party-Games-prod01"
"2","prod02","Comfy Dog Beds","Spoil your furry friend with a luxurious and comfortable dog bed.","rev02",3,2012-05-08,68.45,NA,"https://group9.co.uk/Comfy-Dog-Beds-prod02"
"3","prod03","Storage Baskets","Declutter your space with stylish and functional storage baskets.","rev03",1,2018-10-27,99.18,NA,"https://group9.co.uk/Storage-Baskets-prod03"
"4","prod04","Wireless Headphones","Enjoy crystal-clear audio without the hassle of wires.","rev04",2,2015-12-04,28.56,NA,"https://group9.co.uk/Wireless-Headphones-prod04"
"5","prod05","Lightweight Backpacks","Travel comfortably and efficiently with a lightweight backpack.","rev05",1,2015-12-04,52.06,NA,"https://group9.co.uk/Lightweight-Backpacks-prod05"
"6","prod06","Authentic Spices","Explore new flavors with exotic spices from around the world.","rev06",2,2007-04-21,92.44,NA,"https://group9.co.uk/Authentic-Spices-prod06"
"7","prod07","Stylish Area Rugs","Elevate your home decor with a beautiful area rug.","rev07",4,2010-04-10,93.08,"10%","https://group9.co.uk/Stylish-Area-Rugs-prod07"
"8","prod08","Stainless Steel Straws","Enjoy your favorite drinks without harming the environment.","rev08",5,2018-10-27,29.87,NA,"https://group9.co.uk/Stainless-Steel-Straws-prod08"
"9","prod09","Portable Phone Chargers","Never run out of power with a convenient portable charger.","rev09",5,2011-01-19,62.69,NA,"https://group9.co.uk/Portable-Phone-Chargers-prod09"
"10","prod10","Gourmet Snacks","Indulge in delicious and unique snacks from different cultures.","rev10",3,2018-10-27,26.66,"50%","https://group9.co.uk/Gourmet-Snacks-prod10"
"11","prod11","Plush Throw Blankets","A luxurious throw blanket for ultimate comfort.","rev11",1,2018-03-26,97.41,"20%","https://group9.co.uk/Plush-Throw-Blankets-prod11"
"12","prod12","Durable Camping Tents","Stay comfortable and protected on your next camping adventure.","rev12",4,2011-01-19,30.79,NA,"https://group9.co.uk/Durable-Camping-Tents-prod12"
"13","prod13","Natural Skincare Products","Pamper your skin with gentle and effective natural ingredients.","rev13",1,2018-10-27,17.13,"50%","https://group9.co.uk/Natural-Skincare-Products-prod13"
"14","prod14","Portable Camping Stoves","Cook delicious meals outdoors with a convenient portable stove.","rev14",1,2012-05-08,6.54,"50%","https://group9.co.uk/Portable-Camping-Stoves-prod14"
"15","prod15","Healthy Dog Treats","Reward your pup with delicious and nutritious treats.","rev15",3,2018-03-26,45.68,"50%","https://group9.co.uk/Healthy-Dog-Treats-prod15"
"16","prod16","Makeup Palettes","Create a variety of stunning makeup looks with versatile palettes.","rev16",4,2005-08-13,94.58,"20%","https://group9.co.uk/Makeup-Palettes-prod16"
"17","prod17","Packing Cubes","Organize your luggage effortlessly with packing cubes.","rev17",1,2010-12-02,78.88,"10%","https://group9.co.uk/Packing-Cubes-prod17"
"18","prod18","Polymer Clay Kits","Create unique and colorful jewelry and figurines.","rev18",3,2012-05-08,91.96,NA,"https://group9.co.uk/Polymer-Clay-Kits-prod18"
"19","prod19","Reusable Grocery Bags","Reduce your plastic footprint with stylish reusable bags.","rev19",5,2010-04-10,11.46,"10%","https://group9.co.uk/Reusable-Grocery-Bags-prod19"
"20","prod20","Acrylic Paint Sets","unleash your creativity with vibrant acrylic paints.","rev20",3,2007-04-21,71.66,"50%","https://group9.co.uk/Acrylic-Paint-Sets-prod20"
